id,name,description,category,subcategory,price,originalPrice,discount,inStock,stockQuantity,featured,trending,image,images,colors,colorNames,sizes,weight,dimensions,material,brand,sku,tags,rating,reviewCount,createdAt,updatedAt
1,ProShield Hardshell Spinner,Sunset Hills Spinner 55 cm - Durable hardshell luggage with 360° spinner wheels,Luggage,Carry-On,450,580,22,TRUE,25,TRUE,TRUE,/products/product1.svg,"/products/product1.svg,/products/product1-alt1.svg,/products/product1-alt2.svg","#D4A574,#4A5568,#2D3748,#1A202C,#718096","Rose Gold,Charcoal,Dark Gray,Black,Slate Gray","55cm,65cm,75cm",3.2,"55x40x20 cm",Polycarbonate,ProShield,PS-SH-001,"hardshell,spinner,carry-on,durable",4.5,128,2026-01-15,2026-04-20
2,Executive Leather Briefcase,Premium leather laptop bag with multiple compartments,Bags,Laptop Bags,680,850,20,TRUE,15,TRUE,TRUE,/products/product2.svg,"/products/product2.svg,/products/product2-alt1.svg","#4A5568,#2D3748,#1A202C","Charcoal,Dark Gray,Black",,2.1,"42x32x12 cm",Genuine Leather,Executive Pro,EP-LB-002,"leather,briefcase,laptop,professional",4.7,95,2026-02-01,2026-04-20
3,Urban Explorer Backpack,Lightweight backpack with laptop compartment and USB charging port,Bags,Backpacks,320,400,20,TRUE,40,FALSE,TRUE,/products/product3.svg,"/products/product3.svg,/products/product3-alt1.svg,/products/product3-alt2.svg","#E5E7EB,#4A5568,#2D3748","Light Gray,Charcoal,Dark Gray","One Size",0.8,"45x30x15 cm",Nylon,Urban Gear,UG-BP-003,"backpack,laptop,usb,lightweight",4.3,203,2026-02-10,2026-04-20
4,Midnight Hardshell Deluxe,Premium hardshell luggage with TSA lock and silent wheels,Luggage,Hardshell,890,1150,23,TRUE,12,TRUE,TRUE,/products/product4.svg,"/products/product4.svg,/products/product4-alt1.svg","#1A202C,#2D3748","Black,Dark Gray","65cm,75cm",4.5,"65x45x25 cm",ABS + Polycarbonate,Midnight,MN-HD-004,"hardshell,tsa,premium,silent-wheels",4.8,167,2026-01-20,2026-04-20
5,Traveler's Companion Set,3-piece luggage set with matching carry-on and checked bags,Sets,Luggage Sets,1250,1650,24,TRUE,8,TRUE,FALSE,/products/product5.svg,"/products/product5.svg,/products/product5-alt1.svg","#718096,#4A5568","Slate Gray,Charcoal","55cm + 65cm + 75cm",9.5,"Set of 3",Polycarbonate,TravelMate,TM-LS-005,"set,luggage,3-piece,travel",4.6,89,2026-03-01,2026-04-20
6,Classic Canvas Tote,Spacious canvas tote bag perfect for daily commute,Bags,Tote Bags,180,220,18,TRUE,60,FALSE,TRUE,/products/product6.svg,"/products/product6.svg,/products/product6-alt1.svg,/products/product6-alt2.svg","#E5E7EB,#4A5568,#D4A574","Beige,Charcoal,Tan","One Size",0.5,"40x35x12 cm",Canvas,Classic Carry,CC-TB-006,"tote,canvas,daily,spacious",4.2,145,2026-03-05,2026-04-20
7,Adventure Duffel Pro,Water-resistant duffel bag with shoe compartment,Bags,Duffel Bags,420,550,24,TRUE,22,FALSE,TRUE,/products/product7.svg,"/products/product7.svg,/products/product7-alt1.svg","#2D3748,#1A202C","Dark Gray,Black","Medium,Large",1.2,"55x30x28 cm",Polyester,Adventure Gear,AG-DF-007,"duffel,water-resistant,shoe-compartment",4.4,112,2026-03-10,2026-04-20
8,Elite Business Roller,4-wheel business carry-on with laptop section,Luggage,Carry-On,750,950,21,TRUE,18,TRUE,TRUE,/products/product8.svg,"/products/product8.svg,/products/product8-alt1.svg,/products/product8-alt2.svg","#E5E7EB,#4A5568,#2D3748,#1A202C,#718096","Silver,Charcoal,Dark Gray,Black,Slate","55cm",3.8,"55x40x23 cm",Aluminum + Polycarbonate,Elite Travel,ET-BR-008,"business,roller,laptop,4-wheel",4.7,201,2026-03-15,2026-04-20
9,Weekend Getaway Set,2-piece matching luggage set for short trips,Sets,Luggage Sets,850,1100,23,TRUE,10,FALSE,FALSE,/products/product9.svg,"/products/product9.svg,/products/product9-alt1.svg","#D4A574,#4A5568","Rose Gold,Charcoal","55cm + 65cm",6.8,"Set of 2",ABS,Weekend Warrior,WW-LS-009,"set,weekend,2-piece,matching",4.5,76,2026-03-20,2026-04-20
10,Tech Commuter Backpack,Anti-theft backpack with hidden zippers and RFID pocket,Bags,Backpacks,380,480,21,TRUE,35,TRUE,TRUE,/products/product10.svg,"/products/product10.svg,/products/product10-alt1.svg","#1A202C,#2D3748","Black,Dark Gray","One Size",0.9,"48x32x18 cm",Water-resistant Nylon,TechGuard,TG-BP-010,"backpack,anti-theft,rfid,tech",4.6,189,2026-04-01,2026-04-20
